cells,compiler,completed,completion_ci95_high,completion_ci95_low,completion_probability,output_cx_mean_completed,output_cx_median_completed,output_depth_mean_completed,output_depth_median_completed,output_gates_mean_completed,output_gates_median_completed,representation,rss_peak_bytes_mean_completed,rss_peak_bytes_median_completed,serialized_input_bytes_mean_completed,serialized_input_bytes_median_completed,serialized_input_ir_bytes_mean_completed,serialized_input_ir_bytes_median_completed,serialized_output_bytes_mean_completed,serialized_output_bytes_median_completed,serialized_output_ir_bytes_mean_completed,serialized_output_ir_bytes_median_completed,status_completed,status_correctness_failure,status_memory_error,status_predicate_error,status_timeout,status_unsupported,wall_runtime_s_mean_completed,wall_runtime_s_median_completed
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,160.0,80.0,36.0,25.5,240.0,120.0,round_robin_flat,106495317.33333333,106184704.0,7192.666666666667,3637.0,37199.916666666664,18337.5,4606.083333333333,2295.5,37211.916666666664,18349.5,24,0,0,0,0,0,0.3443551892414689,0.31430987449130043
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,round_robin_flat,106181973.33333333,106078208.0,7192.666666666667,3637.0,37199.916666666664,18337.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.3057295834247877,0.3108674584655091
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,144.33333333333334,70.0,36.0,25.5,216.5,105.0,round_robin_flat,109558442.66666667,109223936.0,7192.666666666667,3637.0,37199.916666666664,18337.5,4173.916666666667,2013.0,33531.25,15882.5,24,0,0,0,0,0,0.3506506320360738,0.3257337920367718
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,round_robin_flat,157171712.0,156631040.0,7192.666666666667,3637.0,37199.916666666664,18337.5,4034.5,2901.5,39044.5,28097.0,24,0,0,0,0,0,0.5796056719167003,0.567881666473113
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,round_robin_flat,109075114.66666667,108642304.0,7192.666666666667,3637.0,37199.916666666664,18337.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.39441326045198366,0.34174439596245065
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,160.0,80.0,40.375,24.0,240.0,120.0,random_commuting_order,106442752.0,106119168.0,7192.666666666667,3637.0,37205.125,18345.0,4606.083333333333,2295.5,37211.125,18351.0,24,0,0,0,0,0,0.33754036977673724,0.3131077705183998
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,random_commuting_order,106180608.0,106061824.0,7192.666666666667,3637.0,37205.125,18345.0,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.3121822222456103,0.31263212498743087
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,93.5,51.0,28.0,15.0,140.25,76.5,random_commuting_order,109479253.33333333,109133824.0,7192.666666666667,3637.0,37205.125,18345.0,2729.2083333333335,1492.0,21467.291666666668,11481.5,24,0,0,0,0,0,0.33772193401334033,0.33051712455926463
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,random_commuting_order,157132117.33333334,156647424.0,7192.666666666667,3637.0,37205.125,18345.0,4033.7916666666665,2901.5,39045.416666666664,28097.5,24,0,0,0,0,0,0.5774064723276146,0.5698862294666469
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,random_commuting_order,109043712.0,108617728.0,7192.666666666667,3637.0,37205.125,18345.0,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.3895222430049519,0.3450924790231511
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,160.0,80.0,36.0,25.5,240.0,120.0,masked_share_update,106515114.66666667,106192896.0,7147.541666666667,3617.0,37156.416666666664,18323.5,4635.875,2297.0,37165.416666666664,18332.5,24,0,0,0,0,0,0.34435980031169794,0.31405460403766483
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,masked_share_update,106177194.66666667,106110976.0,7147.541666666667,3617.0,37156.416666666664,18323.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.30410496690213523,0.3095462705241516
24,qiskit_opt3,9,0.5729003755732572,0.21159367559548778,0.375,85.11111111111111,28.0,36.111111111111114,24.0,132.22222222222223,42.0,masked_share_update,109570730.66666667,109314048.0,4484.555555555556,2909.0,23090.333333333332,14489.0,2586.8888888888887,902.0,20398.222222222223,6185.0,9,0,0,15,0,0,0.3322660183249455,0.3179226659704
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,66.91666666666667,39.0,38.333333333333336,24.0,273.0,196.0,masked_share_update,157216085.33333334,156663808.0,7147.541666666667,3617.0,37156.416666666664,18323.5,4228.75,2986.0,40460.666666666664,28728.5,24,0,0,0,0,0,0.5848165833740495,0.5761042914818972
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,masked_share_update,109081258.66666667,108634112.0,7147.541666666667,3617.0,37156.416666666664,18323.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.39528586287148454,0.3522349584964104
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,80.0,40.0,38.75,15.0,120.0,60.0,locally_folded_flat,106228394.66666667,106102784.0,3638.1666666666665,1865.0,18246.25,9039.5,2339.8333333333335,1197.0,18255.25,9048.5,24,0,0,0,0,0,0.31995569089000736,0.31799825001508
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,locally_folded_flat,106235221.33333333,106160128.0,3638.1666666666665,1865.0,18246.25,9039.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.3247807517570133,0.313314771046862
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,locally_folded_flat,109164544.0,109035520.0,3638.1666666666665,1865.0,18246.25,9039.5,913.3333333333334,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.3209755120915361,0.3191965625155717
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,locally_folded_flat,156888405.33333334,156491776.0,3638.1666666666665,1865.0,18246.25,9039.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.5811006041622022,0.5759435829822905
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,locally_folded_flat,108976810.66666667,108650496.0,3638.1666666666665,1865.0,18246.25,9039.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.3763869393442292,0.34250716702081263
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,qasm_bridge,106173098.66666667,106086400.0,928.3333333333334,663.5,6443.833333333333,4342.5,918.3333333333334,653.5,6460.833333333333,4359.5,24,0,0,0,0,0,0.31473167712586775,0.31562683399533853
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,qasm_bridge,106142378.66666667,106070016.0,928.3333333333334,663.5,6443.833333333333,4342.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.31613105716436013,0.31548706244211644
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,qasm_bridge,109105152.0,109109248.0,928.3333333333334,663.5,6443.833333333333,4342.5,913.3333333333334,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.32462840975009993,0.317575104534626
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,qasm_bridge,156773717.33333334,156540928.0,928.3333333333334,663.5,6443.833333333333,4342.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.588623046875,0.5699791455408558
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,qasm_bridge,108941994.66666667,108584960.0,928.3333333333334,663.5,6443.833333333333,4342.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.36184699137326487,0.33520868740743026
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,tket_bridge,106124629.33333333,106070016.0,911.25,643.5,6443.833333333333,4342.5,918.3333333333334,653.5,6460.833333333333,4359.5,24,0,0,0,0,0,0.3089751875474273,0.3116135420277715
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,tket_bridge,106108245.33333333,106053632.0,911.25,643.5,6443.833333333333,4342.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.30598626904247794,0.30962720850948244
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,tket_bridge,109086037.33333333,109002752.0,911.25,643.5,6443.833333333333,4342.5,913.3333333333334,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.3237142845900962,0.3248366040061228
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,tket_bridge,156766890.66666666,156598272.0,911.25,643.5,6443.833333333333,4342.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.5776074200596971,0.5763918539742008
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,tket_bridge,108973397.33333333,108576768.0,911.25,643.5,6443.833333333333,4342.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.3642510084949511,0.3381740830373019
24,echo_passthrough,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,zx_bridge,106156032.0,106061824.0,944.4166666666666,668.5,6441.833333333333,4340.5,918.3333333333334,653.5,6460.833333333333,4359.5,24,0,0,0,0,0,0.3110417205073948,0.310273188049905
24,full_aggregation,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,zx_bridge,106106197.33333333,106037248.0,944.4166666666666,668.5,6441.833333333333,4340.5,918.3333333333334,653.5,6480.833333333333,4379.5,24,0,0,0,0,0,0.30865303478882805,0.310493916971609
24,qiskit_opt3,24,1.0,0.8620237953250198,1.0,30.0,20.0,14.0,10.5,45.0,30.0,zx_bridge,109112661.33333333,109027328.0,944.4166666666666,668.5,6441.833333333333,4340.5,913.3333333333334,648.5,6479.833333333333,4378.5,24,0,0,0,0,0,0.32775414429973654,0.32097666698973626
24,tket_paulisimp,24,1.0,0.8620237953250198,1.0,63.083333333333336,37.0,36.166666666666664,19.5,264.0833333333333,192.0,zx_bridge,156731392.0,156352512.0,944.4166666666666,668.5,6441.833333333333,4340.5,4033.6666666666665,2901.0,39045.5,28097.5,24,0,0,0,0,0,0.5830843350850046,0.58201516646659
24,pyzx_full_reduce,24,1.0,0.8620237953250198,1.0,76.16666666666667,40.0,80.41666666666667,42.0,316.6666666666667,183.0,zx_bridge,108993877.33333333,108716032.0,944.4166666666666,668.5,6441.833333333333,4340.5,3606.3333333333335,2111.5,41726.916666666664,23900.0,24,0,0,0,0,0,0.37751267703424674,0.3598779169842601
